game,network,time,mediaindicator,
Boston College at Central Michigan,ESPN2 HD,08/31/2006 18:00,T,
FAU at Middle Tennessee,ESPN Plus,08/31/2006 19:00,T,
Northwestern at Miami (OH),ESPNU,08/31/2006 19:30,T,
Eastern Michigan at Ball St.,Comcast Local,08/31/2006 19:30,T,
Minnesota at Kent St.,ESPN360,08/31/2006 19:30,W,
Rhode Island at Connecticut,ESPN Plus,08/31/2006 19:30,T,
Toledo at Iowa St.,Mediacom-Iowa,08/31/2006 20:00,T,
South Carolina at Mississippi St.,ESPN HD,08/31/2006 20:00,T,
SE Louisiana at New Mexico St.,,08/31/2006 21:00,W,
Sacramento St. at Boise St.,KTVB,08/31/2006 21:00,T,
UTEP at San Diego St.,CSTV,08/31/2006 22:30,T,
Nevada at Fresno St.,ESPN HD,09/01/2006 20:00,T,
North Texas at Texas,FSN,09/02/2006 12:00,T,
Vanderbilt at Michigan,ESPN HD,09/02/2006 12:00,T,
Montana at Iowa,ESPNU,09/02/2006 12:00,T,
Idaho at Michigan St.,ESPN Plus,09/02/2006 12:00,T,
Western Kentucky at Georgia,Lincoln Financial Sports,09/02/2006 12:30,T,
Northeastern at Virginia Tech,ESPN360,09/02/2006 13:30,W,
Rutgers at North Carolina,ABC,09/02/2006 15:30,T,
FAU at Clemson,ESPNU,09/02/2006 15:30,T,
Louisiana Tech at Nebraska,FSN,09/02/2006 15:30,T,
Marshall at West Virginia,ESPN Plus,09/02/2006 15:30,T,
Northern Illinois at Ohio St.,ABC,09/02/2006 15:30,T,
Akron at Penn St.,ESPN2 HD,09/02/2006 15:30,T,
Montana St. at Colorado,,09/02/2006 15:30,W,
Weber St. at Colorado St.,The mtn.,09/02/2006 17:00,T,
California at Tennessee,ESPN HD,09/02/2006 17:30,T,
East Carolina at Navy,CSTV,09/02/2006 17:30,T,
Richmond at Duke,,09/02/2006 18:00,W,
Appalachian St. at NC State,,09/02/2006 18:00,W,
William & Mary at Maryland,ESPN360,09/02/2006 18:00,W,
Southern Miss at Florida,Sun Sports PPV,09/02/2006 18:00,T,
Syracuse at Wake Forest,ESPN360,09/02/2006 18:30,W,
Virginia at Pittsburgh,ESPNU,09/02/2006 19:00,T,
McNeese St. at USF,ESPN Plus,09/02/2006 19:00,T,
UAB at Oklahoma,TBS,09/02/2006 19:00,T,
UT-Martin at Ohio,,09/02/2006 19:00,W,
Wisconsin vs. Bowling Green<br>(at Cleveland, OH),ESPN Plus,09/02/2006 19:00,T
Hawai'i at Alabama,Crimson Tide PPV,09/02/2006 19:00,T,
Washington St. at Auburn,ESPN2 HD,09/02/2006 19:45,T,
UL-Lafayette at LSU,TigerVision PPV,09/02/2006 20:00,T,
Notre Dame at Georgia Tech,ABC HD,09/02/2006 20:00,T,
Portland St. at New Mexico,The mtn.,09/02/2006 20:30,T,
USC at Arkansas,ESPN HD,09/02/2006 20:45,T,
Houston at Rice,CSTV,09/02/2006 21:00,T,
Memphis at Ole Miss,ESPN HD,09/03/2006 16:30,T,
TCU at Baylor,FSN,09/03/2006 17:30,T,
Kentucky at Louisville,ESPN HD,09/03/2006 20:00,T,
Florida St. at Miami (FL),ESPN HD,09/04/2006 20:00,T,
Oregon St. at Boise St.,ESPN HD,09/07/2006 19:30,T,
Cincinnati at Pittsburgh,ESPN2 HD,09/08/2006 20:00,T,
Illinois at Rutgers,ESPN2 HD,09/09/2006 12:00,T,
Virginia Tech at North Carolina,ESPN HD,09/09/2006 12:00,T,
Akron at NC State,ESPNU,09/09/2006 12:00,T,
Duke at Wake Forest,Raycom/LF Sports,09/09/2006 12:00,T,
Central Michigan at Michigan,ESPN Plus,09/09/2006 12:00,T,
Ole Miss at Missouri,FSN HD,09/09/2006 12:30,T,
Auburn at Mississippi St.,Lincoln Financial Sports,09/09/2006 12:30,T,
Miami (OH) at Purdue,ESPN360,09/09/2006 13:00,W,
Kent St. at Army,ESPN Classic,09/09/2006 13:00,T,
Massachusetts at Navy,CSTV,09/09/2006 13:30,T,
Ohio at Northern Illinois,CSN Chicago,09/09/2006 15:00,T,
Buffalo at Bowling Green,,09/09/2006 15:00,W,
Vanderbilt at Arkansas,FSN/SEC TV,09/09/2006 15:30,T,
Penn St. at Notre Dame,NBC HD,09/09/2006 15:30,T,
Western Illinois at Wisconsin,ESPNU,09/09/2006 15:30,T,
Eastern Michigan at Michigan St.,ESPN Plus,09/09/2006 15:30,T,
Washington at Oklahoma,ABC HD,09/09/2006 15:30,T,
Iowa at Syracuse,ABC,09/09/2006 15:30,T,
Clemson at Boston College,ABC,09/09/2006 15:30,T,
Tulsa at BYU,The mtn.,09/09/2006 16:00,T,
Hofstra at Marshall,,09/09/2006 16:30,W,
Colorado vs. Colorado St.<br>(at Denver, CO),CSTV,09/09/2006 17:00,T
UCF at Florida,Sun Sports PPV,09/09/2006 18:00,T,
Stanford at San Jose St.,CSN West,09/09/2006 18:00,T,
