Team,Rec.,2ndO Wins(Diff),S&P+(Percentile),S&P+(Margin),Rk,Off. S&P+,Rk,Def. S&P+,Rk,SOS,Rk,Wtd. S&P+,Rk
LSU,13-1,12.6 (-0.4),	99.3%	,	+28.7	,	1	,	37.0	,	13	,	8.3	,	2	,	1.46	,	8	,	+26.3	,	2	
Alabama,12-1,12.2 (0.2),	99.1%	,	+27.5	,	2	,	34.4	,	20	,	6.9	,	1	,	0.68	,	31	,	+27.8	,	1	
Oklahoma State,12-1,11.8 (-0.2),	98.5%	,	+25.4	,	3	,	46.6	,	1	,	21.1	,	21	,	1.11	,	17	,	+18.9	,	3	
Boise State,12-1,12.1 (0.1),	97.5%	,	+23.0	,	4	,	40.4	,	6	,	17.4	,	9	,	-0.05	,	64	,	+16.8	,	8	
Oklahoma,10-3,10.6 (0.6),	96.7%	,	+21.5	,	5	,	39.3	,	9	,	17.7	,	10	,	1.30	,	10	,	+9.7	,	23	
Oregon,12-2,12.1 (0.1),	96.5%	,	+21.2	,	6	,	44.2	,	2	,	23.0	,	33	,	0.59	,	37	,	+15.2	,	10	
Michigan,11-2,9.7 (-1.3),	94.8%	,	+19.0	,	7	,	38.0	,	12	,	19.0	,	12	,	1.49	,	7	,	+6.1	,	32	
Texas A&M,7-6,9.4 (2.4),	92.3%	,	+16.7	,	8	,	39.0	,	10	,	22.3	,	27	,	0.98	,	21	,	+7.1	,	28	
Stanford,11-2,10.4 (-0.6),	92.2%	,	+16.6	,	9	,	40.4	,	5	,	23.8	,	44	,	0.30	,	48	,	+17.0	,	5	
Wisconsin,11-3,11.4 (0.4),	92.1%	,	+16.5	,	10	,	42.1	,	4	,	25.6	,	56	,	-0.26	,	72	,	+11.6	,	17	
Notre Dame,8-5,8.1 (0.1),	92.0%	,	+16.4	,	11	,	36.3	,	14	,	19.9	,	17	,	1.68	,	4	,	+5.0	,	37	
Toledo,9-4,9.0 (0.0),	91.6%	,	+16.1	,	12	,	39.5	,	8	,	23.4	,	38	,	1.20	,	14	,	+15.1	,	11	
Penn State,9-4,8.3 (-0.7),	90.7%	,	+15.4	,	13	,	28.6	,	51	,	13.2	,	3	,	1.73	,	3	,	+3.1	,	49	
Georgia,10-4,10.5 (0.5),	90.3%	,	+15.2	,	14	,	30.2	,	39	,	15.0	,	4	,	0.64	,	34	,	+10.9	,	20	
USC,10-2,9.6 (-0.4),	88.3%	,	+13.9	,	15	,	38.2	,	11	,	24.3	,	45	,	0.40	,	44	,	+15.9	,	9	
Michigan State,11-3,10.9 (-0.1),	86.4%	,	+12.8	,	16	,	30.1	,	41	,	17.2	,	8	,	0.03	,	59	,	+11.1	,	19	
Tulsa,8-5,7.6 (-0.4),	85.9%	,	+12.6	,	17	,	35.0	,	18	,	22.5	,	30	,	1.49	,	6	,	+16.8	,	7	
Arkansas,11-2,9.2 (-1.8),	85.3%	,	+12.3	,	18	,	35.3	,	15	,	23.1	,	36	,	0.22	,	51	,	+13.3	,	15	
Nebraska,9-4,8.8 (-0.2),	84.1%	,	+11.7	,	19	,	32.2	,	28	,	20.5	,	19	,	0.67	,	32	,	+10.3	,	21	
TCU,11-2,11.2 (0.2),	83.9%	,	+11.6	,	20	,	35.1	,	17	,	23.5	,	39	,	-0.70	,	90	,	+16.9	,	6	
Vanderbilt,5-7,7.2 (2.2),	83.3%	,	+11.3	,	21	,	28.0	,	58	,	16.7	,	6	,	1.13	,	15	,	+11.5	,	18	
Texas,8-5,7.6 (-0.4),	83.0%	,	+11.2	,	22	,	28.2	,	55	,	17.0	,	7	,	0.91	,	24	,	+3.5	,	47	
Florida State,9-4,9.3 (0.3),	82.5%	,	+10.9	,	23	,	27.4	,	63	,	16.5	,	5	,	-0.65	,	88	,	+13.6	,	14	
Missouri,8-5,8.0 (0.0),	82.3%	,	+10.8	,	24	,	33.6	,	22	,	22.8	,	31	,	0.60	,	36	,	+5.0	,	36	
Baylor,10-3,9.2 (-0.8),	80.5%	,	+10.0	,	25	,	43.7	,	3	,	33.7	,	98	,	0.56	,	38	,	+1.9	,	55	
South Carolina,11-2,9.8 (-1.2),	80.0%	,	+9.8	,	26	,	29.2	,	45	,	19.4	,	16	,	0.03	,	58	,	+2.4	,	52	
