Team,Rec.,2ndO Wins(Diff),S&P+(Percentile),S&P+(Margin),Rk,Off. S&P+,Rk,Def. S&P+,Rk,SOS,Rk,Wtd. S&P+,Rk
Oklahoma,12-2,12.7 (0.7),	99.6%	,	+30.9	,	1	,	48.8	,	1	,	17.9	,	15	,	1.23	,	13	,	+21.8	,	3	
Florida,13-1,12.9 (-0.1),	99.5%	,	+30.6	,	2	,	43.3	,	3	,	12.7	,	5	,	1.23	,	12	,	+21.8	,	2	
USC,12-1,12.1 (0.1),	99.2%	,	+28.3	,	3	,	38.5	,	8	,	10.2	,	1	,	0.40	,	37	,	+19.4	,	5	
Texas,12-1,10.8 (-1.2),	99.1%	,	+27.8	,	4	,	45.6	,	2	,	17.8	,	14	,	1.57	,	5	,	+16.5	,	11	
Penn State,11-2,11.1 (0.1),	97.4%	,	+22.9	,	5	,	38.7	,	7	,	15.9	,	9	,	0.30	,	44	,	+17.0	,	9	
Ohio State,10-3,9.8 (-0.2),	96.0%	,	+20.7	,	6	,	33.2	,	17	,	12.5	,	4	,	1.44	,	7	,	+17.8	,	8	
Alabama,12-2,10.4 (-1.6),	95.4%	,	+19.8	,	7	,	32.3	,	25	,	12.5	,	3	,	1.15	,	16	,	+18.7	,	7	
TCU,11-2,11.3 (0.3),	94.7%	,	+19.1	,	8	,	30.8	,	32	,	11.6	,	2	,	-0.17	,	65	,	+23.4	,	1	
Boise State,12-1,12.0 (0.0),	91.8%	,	+16.4	,	9	,	32.6	,	22	,	16.2	,	11	,	-1.03	,	99	,	+20.1	,	4	
Missouri,10-4,10.3 (0.3),	90.7%	,	+15.6	,	10	,	39.9	,	6	,	24.3	,	56	,	0.54	,	34	,	+3.1	,	42	
Oregon State,9-4,9.0 (0.0),	90.4%	,	+15.4	,	11	,	33.5	,	16	,	18.1	,	17	,	1.28	,	11	,	+6.9	,	27	
Oregon,10-3,9.7 (-0.3),	89.0%	,	+14.5	,	12	,	37.1	,	10	,	22.7	,	41	,	0.58	,	33	,	+16.8	,	10	
Iowa,9-4,10.0 (1.0),	88.4%	,	+14.1	,	13	,	29.3	,	43	,	15.2	,	8	,	-0.27	,	69	,	+16.1	,	12	
Pittsburgh,9-4,7.9 (-1.1),	87.8%	,	+13.8	,	14	,	31.7	,	27	,	18.0	,	16	,	1.60	,	4	,	+11.3	,	18	
Utah,13-0,11.3 (-1.7),	86.9%	,	+13.2	,	15	,	33.0	,	19	,	19.7	,	25	,	-0.45	,	82	,	+18.8	,	6	
Ole Miss,9-4,8.9 (-0.1),	86.8%	,	+13.2	,	16	,	32.4	,	24	,	19.2	,	23	,	0.31	,	42	,	+15.0	,	13	
Nebraska,9-4,8.8 (-0.2),	86.0%	,	+12.7	,	17	,	37.6	,	9	,	24.9	,	59	,	1.07	,	19	,	+2.2	,	54	
Oklahoma State,9-4,8.6 (-0.4),	85.4%	,	+12.4	,	18	,	41.2	,	5	,	28.8	,	78	,	0.43	,	36	,	+9.2	,	22	
Texas Tech,11-2,9.9 (-1.1),	84.7%	,	+12.1	,	19	,	42.3	,	4	,	30.2	,	84	,	0.17	,	55	,	+11.7	,	16	
Kansas,8-5,8.0 (0.0),	84.3%	,	+11.9	,	20	,	36.8	,	13	,	24.9	,	60	,	1.03	,	21	,	+3.7	,	39	
Georgia,10-3,8.8 (-1.2),	82.1%	,	+10.9	,	21	,	34.0	,	15	,	23.1	,	45	,	0.93	,	24	,	+2.7	,	50	
California,9-4,9.1 (0.1),	80.5%	,	+10.2	,	22	,	28.9	,	45	,	18.7	,	22	,	-0.06	,	62	,	+11.6	,	17	
Michigan State,9-4,7.1 (-1.9),	80.4%	,	+10.1	,	23	,	28.5	,	47	,	18.5	,	20	,	1.33	,	8	,	+0.4	,	63	
LSU,8-5,8.5 (0.5),	79.8%	,	+9.9	,	24	,	31.6	,	28	,	21.7	,	34	,	0.13	,	58	,	+5.1	,	32	
Georgia Tech,8-4,7.9 (-0.1),	77.3%	,	+8.8	,	25	,	30.0	,	38	,	21.1	,	32	,	0.36	,	39	,	+4.1	,	37	
Cincinnati,11-3,9.8 (-1.2),	77.1%	,	+8.8	,	26	,	29.3	,	42	,	20.6	,	28	,	0.10	,	60	,	+6.6	,	29	
South Carolina,7-6,7.4 (0.4),	76.3%	,	+8.4	,	27	,	25.2	,	70	,	16.7	,	13	,	1.30	,	9	,	+3.2	,	41	
Wake Forest,8-5,8.0 (0.0),	76.2%	,	+8.4	,	28	,	23.2	,	84	,	14.8	,	7	,	0.64	,	30	,	-2.5	,	85	
Illinois,5-7,5.6 (0.6),	74.9%	,	+7.9	,	29	,	31.5	,	29	,	23.6	,	51	,	1.03	,	23	,	+4.5	,	36	
North Carolina,8-5,9.1 (1.1),	74.4%	,	+7.7	,	30	,	28.2	,	50	,	20.5	,	26	,	0.19	,	54	,	+3.1	,	43	
South Florida,8-5,8.4 (0.4),	71.8%	,	+6.8	,	31	,	28.9	,	44	,	22.1	,	39	,	-0.39	,	77	,	+3.0	,	45	
Rutgers,9-4,8.6 (-0.4),	71.2%	,	+6.6	,	32	,	29.8	,	39	,	23.2	,	46	,	-0.49	,	85	,	+13.7	,	14	
Wisconsin,7-6,7.6 (0.6),	70.3%	,	+6.3	,	33	,	30.3	,	34	,	24.0	,	54	,	0.77	,	27	,	-1.8	,	80	
Virginia Tech,10-4,8.5 (-1.5),	69.8%	,	+6.1	,	34	,	22.1	,	92	,	16.0	,	10	,	0.27	,	47	,	+3.0	,	46	
Boston College,9-5,9.1 (0.1),	69.8%	,	+6.1	,	35	,	22.3	,	90	,	16.2	,	12	,	-0.19	,	67	,	+2.6	,	51	
