Team,Rec.,2ndO Wins(Diff),S&P+(Percentile),S&P+(Margin),Rk,Off. S&P+,Rk,Def. S&P+,Rk,SOS,Rk,Wtd. S&P+,Rk
Alabama,13-1,12.8 (-0.2),	99.3%	,	+28.5	,	1	,	40.4	,	7	,	11.9	,	3	,	0.55	,	37	,	+20.7	,	1	
Texas A&M,11-2,10.5 (-0.5),	97.5%	,	+23.0	,	2	,	43.1	,	2	,	20.1	,	17	,	0.73	,	31	,	+20.2	,	2	
Florida,11-2,10.2 (-0.8),	97.2%	,	+22.4	,	3	,	31.8	,	39	,	9.4	,	1	,	1.80	,	3	,	+13.4	,	15	
Oregon,12-1,12.1 (0.1),	97.1%	,	+22.1	,	4	,	43.1	,	1	,	21.0	,	23	,	0.29	,	47	,	+15.7	,	8	
Notre Dame,12-1,10.1 (-1.9),	96.8%	,	+21.7	,	5	,	35.2	,	21	,	13.5	,	4	,	1.79	,	4	,	+14.8	,	11	
Kansas State,11-2,10.3 (-0.7),	94.7%	,	+18.9	,	6	,	39.2	,	9	,	20.3	,	19	,	0.87	,	25	,	+15.6	,	10	
Georgia,12-2,11.9 (-0.1),	94.3%	,	+18.5	,	7	,	40.7	,	6	,	22.2	,	28	,	0.28	,	48	,	+19.2	,	3	
Oklahoma,10-3,9.3 (-0.7),	93.2%	,	+17.5	,	8	,	40.8	,	5	,	23.3	,	30	,	0.93	,	23	,	+7.5	,	32	
Stanford,12-2,10.6 (-1.4),	92.6%	,	+17.0	,	9	,	31.8	,	40	,	14.8	,	5	,	1.04	,	21	,	+10.7	,	21	
South Carolina,10-2,8.5 (-1.5),	91.2%	,	+15.8	,	10	,	33.5	,	30	,	17.7	,	9	,	1.23	,	13	,	+4.5	,	45	
LSU,10-3,9.3 (-0.7),	90.6%	,	+15.4	,	11	,	32.2	,	36	,	16.8	,	7	,	1.11	,	16	,	+15.7	,	9	
Utah State,11-2,11.9 (0.9),	89.9%	,	+14.9	,	12	,	33.9	,	27	,	19.0	,	12	,	-1.02	,	105	,	+13.4	,	14	
Oklahoma State,8-5,9.5 (1.5),	89.0%	,	+14.4	,	13	,	39.6	,	8	,	25.3	,	43	,	0.16	,	52	,	+10.4	,	24	
