Team,Rec.,2ndO Wins(Diff),S&P+(Percentile),S&P+(Margin),Rk,Off. S&P+,Rk,Def. S&P+,Rk,SOS,Rk,Wtd. S&P+,Rk
Florida State,14-0,13.1 (-0.9),	98.0%	,	+25.6	,	1	,	42.9	,	4	,	17.3	,	7	,	-0.44	,	86	,	+25.5	,	1	
Alabama,11-2,11.6 (0.6),	96.3%	,	+22.2	,	2	,	39.5	,	9	,	17.3	,	6	,	0.22	,	51	,	+17.7	,	7	
Baylor,10-2,9.3 (-0.7),	95.6%	,	+21.2	,	3	,	43.5	,	3	,	22.3	,	26	,	0.60	,	39	,	+13.1	,	19	
Stanford,11-3,10.8 (-0.2),	95.6%	,	+21.2	,	4	,	38.0	,	15	,	16.8	,	3	,	1.42	,	9	,	+17.2	,	9	
Auburn,12-2,9.9 (-2.1),	94.9%	,	+20.4	,	5	,	45.2	,	2	,	24.9	,	46	,	1.43	,	8	,	+22.8	,	3	
Missouri,12-2,10.7 (-1.3),	93.3%	,	+18.7	,	6	,	40.4	,	7	,	21.7	,	22	,	1.05	,	20	,	+13.3	,	18	
Ohio State,12-2,11.7 (-0.3),	93.0%	,	+18.4	,	7	,	42.8	,	5	,	24.4	,	44	,	-0.21	,	79	,	+17.8	,	6	
Arizona State,10-4,9.1 (-0.9),	92.8%	,	+18.2	,	8	,	38.6	,	13	,	20.5	,	15	,	1.36	,	12	,	+14.3	,	15	
Oklahoma State,10-3,11.8 (1.8),	92.2%	,	+17.6	,	9	,	35.6	,	20	,	18.0	,	9	,	0.09	,	63	,	+15.7	,	10	
South Carolina,11-2,9.6 (-1.4),	92.0%	,	+17.5	,	10	,	38.7	,	11	,	21.2	,	20	,	1.17	,	15	,	+5.3	,	46	
Georgia,8-5,7.8 (-0.2),	90.7%	,	+16.4	,	11	,	40.2	,	8	,	23.7	,	36	,	1.57	,	3	,	+6.1	,	42	
Texas A&M,9-4,9.1 (0.1),	90.7%	,	+16.4	,	12	,	47.1	,	1	,	30.7	,	87	,	1.04	,	22	,	+11.8	,	23	
LSU,10-3,10.1 (0.1),	89.9%	,	+15.9	,	13	,	38.5	,	14	,	22.7	,	28	,	0.47	,	44	,	+7.8	,	37	
USC,10-4,10.5 (0.5),	89.7%	,	+15.7	,	14	,	33.4	,	32	,	17.7	,	8	,	0.87	,	27	,	+7.6	,	38	
UCLA,10-3,9.5 (-0.5),	87.7%	,	+14.4	,	15	,	36.5	,	18	,	22.1	,	24	,	0.66	,	35	,	+9.6	,	33	
Clemson,11-2,9.9 (-1.1),	87.5%	,	+14.3	,	16	,	38.7	,	12	,	24.4	,	41	,	0.12	,	61	,	+15.2	,	13	
Wisconsin,9-4,9.5 (0.5),	87.2%	,	+14.1	,	17	,	34.4	,	25	,	20.3	,	14	,	-0.40	,	84	,	+17.3	,	8	
Louisville,12-1,11.4 (-0.6),	86.0%	,	+13.4	,	18	,	31.6	,	47	,	18.1	,	11	,	-1.13	,	110	,	+12.7	,	21	
Mississippi State,7-6,7.3 (0.3),	85.9%	,	+13.4	,	19	,	34.4	,	24	,	21.0	,	17	,	1.40	,	10	,	+5.7	,	44	
Virginia Tech,8-5,8.6 (0.6),	85.2%	,	+13.0	,	20	,	28.1	,	71	,	15.1	,	1	,	1.14	,	16	,	+1.5	,	64	
Oregon,11-2,10.6 (-0.4),	84.2%	,	+12.5	,	21	,	38.8	,	10	,	26.3	,	55	,	-0.56	,	89	,	+4.7	,	49	
Michigan State,13-1,11.8 (-1.2),	83.6%	,	+12.2	,	22	,	27.8	,	73	,	15.7	,	2	,	-0.31	,	82	,	+12.8	,	20	
Washington,9-4,9.2 (0.2),	83.4%	,	+12.1	,	23	,	34.2	,	26	,	22.1	,	25	,	0.17	,	56	,	+4.9	,	47	
Arizona,8-5,8.3 (0.3),	81.8%	,	+11.3	,	24	,	35.3	,	22	,	24.0	,	38	,	0.51	,	43	,	-0.1	,	71	
North Carolina,7-6,8.7 (1.7),	81.5%	,	+11.1	,	25	,	34.0	,	27	,	22.9	,	29	,	0.61	,	38	,	+7.4	,	39	
Utah,5-7,5.9 (0.9),	80.6%	,	+10.8	,	26	,	32.4	,	38	,	21.6	,	21	,	1.46	,	7	,	-3.4	,	83	
Oklahoma,11-2,8.4 (-2.6),	80.6%	,	+10.7	,	27	,	31.9	,	44	,	21.2	,	19	,	0.84	,	28	,	+4.5	,	50	
BYU,8-5,8.4 (0.4),	80.5%	,	+10.7	,	28	,	30.5	,	51	,	19.8	,	13	,	0.52	,	42	,	+12.1	,	22	
Iowa,8-5,8.1 (0.1),	80.1%	,	+10.5	,	29	,	28.6	,	66	,	18.1	,	10	,	0.59	,	40	,	+9.0	,	35	
Indiana,5-7,6.0 (1.0),	79.6%	,	+10.3	,	30	,	42.6	,	6	,	32.3	,	95	,	1.48	,	6	,	-7.3	,	97	
Central Florida,12-1,10.2 (-1.8),	79.5%	,	+10.3	,	31	,	35.3	,	23	,	25.0	,	48	,	-0.30	,	81	,	+11.5	,	26	
Utah State,9-5,9.1 (0.1),	79.1%	,	+10.1	,	32	,	27.1	,	79	,	17.0	,	5	,	-0.20	,	77	,	+13.9	,	16	
Florida,4-8,5.3 (1.3),	78.3%	,	+9.7	,	33	,	26.6	,	83	,	16.9	,	4	,	1.77	,	2	,	+2.8	,	56	
Notre Dame,9-4,7.8 (-1.2),	77.9%	,	+9.6	,	34	,	32.9	,	36	,	23.3	,	31	,	0.76	,	32	,	+9.9	,	30	
Kansas State,8-5,8.3 (0.3),	76.7%	,	+9.1	,	35	,	33.5	,	31	,	24.4	,	42	,	-0.01	,	67	,	+5.5	,	45	
Pittsburgh,7-6,6.7 (-0.3),	75.2%	,	+8.5	,	36	,	31.8	,	45	,	23.3	,	32	,	1.10	,	18	,	+1.8	,	60	
Texas,8-5,7.1 (-0.9),	74.8%	,	+8.3	,	37	,	30.3	,	53	,	22.0	,	23	,	0.90	,	26	,	+3.0	,	55	
Miami,9-4,7.9 (-1.1),	74.6%	,	+8.2	,	38	,	36.0	,	19	,	27.8	,	68	,	0.33	,	50	,	+3.3	,	53	
North Texas,9-4,10.3 (1.3),	74.2%	,	+8.1	,	39	,	28.9	,	64	,	20.8	,	16	,	-0.86	,	100	,	+11.7	,	24	
Toledo,7-5,7.7 (0.7),	73.2%	,	+7.7	,	40	,	36.9	,	16	,	29.3	,	77	,	0.16	,	58	,	+19.8	,	4	
Georgia Tech,6-6,6.0 (0.0),	72.8%	,	+7.6	,	41	,	32.7	,	37	,	25.1	,	50	,	0.47	,	45	,	+3.8	,	51	
Oregon State,7-6,7.4 (0.4),	72.7%	,	+7.5	,	42	,	35.4	,	21	,	27.9	,	69	,	0.64	,	37	,	-0.9	,	74	
Houston,8-5,8.4 (0.4),	71.2%	,	+7.0	,	43	,	30.2	,	56	,	23.3	,	30	,	-0.11	,	72	,	+9.1	,	34	
Michigan,7-6,6.5 (-0.5),	71.1%	,	+6.9	,	44	,	29.5	,	61	,	22.6	,	27	,	1.04	,	21	,	-1.2	,	75	
Ole Miss,8-5,7.1 (-0.9),	70.9%	,	+6.9	,	45	,	32.0	,	43	,	25.1	,	49	,	0.66	,	33	,	+2.7	,	57	
Fresno State,11-2,9.8 (-1.2),	70.9%	,	+6.9	,	46	,	36.8	,	17	,	30.0	,	82	,	-0.86	,	101	,	+13.8	,	17	
Tennessee,5-7,4.9 (-0.1),	69.8%	,	+6.5	,	47	,	30.9	,	49	,	24.4	,	43	,	1.54	,	4	,	-1.3	,	76	
