Team,Rec.,2ndO Wins(Diff),S&P+(Percentile),S&P+(Margin),Rk,Off. S&P+,Rk,Def. S&P+,Rk,SOS,Rk,Wtd. S&P+,Rk
USC,12-1,11.9 (-0.1),	99.6%	,	+29.7	,	1	,	50.1	,	1	,	20.4	,	27	,	1.69	,	5	,	+23.4	,	1	
Texas,13-0,12.1 (-0.9),	99.5%	,	+29.3	,	2	,	44.0	,	2	,	14.7	,	5	,	0.85	,	20	,	+21.4	,	2	
Ohio State,10-2,10.0 (0.0),	98.8%	,	+25.4	,	3	,	37.7	,	6	,	12.4	,	2	,	1.49	,	7	,	+15.2	,	6	
Penn State,11-1,10.2 (-0.8),	96.4%	,	+20.1	,	4	,	35.0	,	12	,	14.8	,	7	,	0.61	,	37	,	+9.9	,	20	
Virginia Tech,11-2,10.2 (-0.8),	96.1%	,	+19.8	,	5	,	32.1	,	26	,	12.3	,	1	,	0.64	,	36	,	+14.0	,	8	
Michigan,7-5,7.6 (0.6),	94.4%	,	+17.8	,	6	,	34.2	,	16	,	16.4	,	12	,	1.87	,	3	,	+10.0	,	19	
Georgia,10-3,10.6 (0.6),	94.0%	,	+17.4	,	7	,	34.6	,	15	,	17.1	,	17	,	0.78	,	26	,	+19.3	,	3	
Notre Dame,9-3,8.6 (-0.4),	93.1%	,	+16.6	,	8	,	40.1	,	3	,	23.5	,	38	,	1.16	,	14	,	+16.8	,	4	
LSU,11-2,9.1 (-1.9),	90.7%	,	+14.8	,	9	,	31.1	,	29	,	16.3	,	10	,	0.38	,	47	,	+13.1	,	11	
Auburn,9-3,9.4 (0.4),	90.4%	,	+14.6	,	10	,	32.5	,	23	,	17.9	,	18	,	-0.25	,	78	,	+11.4	,	14	
Boston College,9-3,9.6 (0.6),	89.9%	,	+14.3	,	11	,	29.7	,	37	,	15.4	,	9	,	0.42	,	45	,	+12.5	,	12	
West Virginia,11-1,8.5 (-2.5),	89.7%	,	+14.2	,	12	,	32.7	,	22	,	18.5	,	22	,	0.48	,	42	,	+15.7	,	5	
Miami,9-3,9.5 (0.5),	89.7%	,	+14.2	,	13	,	28.3	,	48	,	14.2	,	4	,	-0.22	,	73	,	+12.5	,	13	
Oklahoma,8-4,7.6 (-0.4),	89.5%	,	+14.1	,	14	,	30.5	,	32	,	16.4	,	11	,	1.64	,	6	,	+4.4	,	46	
Alabama,10-2,8.6 (-1.4),	89.4%	,	+14.0	,	15	,	27.2	,	61	,	13.2	,	3	,	0.82	,	23	,	+3.7	,	49	
Minnesota,7-5,7.7 (0.7),	88.9%	,	+13.7	,	16	,	39.9	,	4	,	26.2	,	56	,	1.38	,	12	,	+2.3	,	56	
Louisville,9-3,9.7 (0.7),	87.1%	,	+12.7	,	17	,	37.4	,	7	,	24.8	,	44	,	-0.60	,	88	,	+9.0	,	25	
Florida,9-3,7.9 (-1.1),	84.5%	,	+11.4	,	18	,	29.6	,	39	,	18.2	,	20	,	0.84	,	21	,	+10.5	,	16	
Oregon,10-2,7.9 (-2.1),	83.6%	,	+11.0	,	19	,	32.2	,	25	,	21.3	,	28	,	0.73	,	30	,	+6.9	,	34	
Fresno State,8-5,9.7 (1.7),	82.1%	,	+10.3	,	20	,	35.4	,	11	,	25.1	,	47	,	-0.28	,	80	,	+15.0	,	7	
Colorado,7-6,6.9 (-0.1),	81.4%	,	+10.0	,	21	,	27.0	,	63	,	17.0	,	15	,	1.30	,	13	,	+5.2	,	38	
Tennessee,5-6,6.4 (1.4),	81.1%	,	+9.9	,	22	,	24.8	,	77	,	14.9	,	8	,	1.11	,	17	,	+4.9	,	41	
Iowa,7-5,8.4 (1.4),	78.6%	,	+8.9	,	23	,	32.9	,	21	,	24.0	,	41	,	-0.15	,	70	,	+13.3	,	10	
TCU,11-1,8.3 (-2.7),	78.3%	,	+8.8	,	24	,	27.7	,	54	,	19.0	,	23	,	-0.25	,	77	,	+9.5	,	23	
N.C. State,7-5,7.2 (0.2),	77.8%	,	+8.6	,	25	,	23.4	,	86	,	14.8	,	6	,	0.71	,	31	,	+6.2	,	37	
Georgia Tech,7-5,6.5 (-0.5),	77.6%	,	+8.5	,	26	,	25.5	,	72	,	17.0	,	16	,	1.43	,	8	,	+10.1	,	18	
South Florida,6-6,6.3 (0.3),	77.5%	,	+8.5	,	27	,	25.1	,	73	,	16.6	,	13	,	0.76	,	28	,	-3.0	,	83	
Florida State,8-5,7.6 (-0.4),	76.7%	,	+8.2	,	28	,	24.9	,	75	,	16.7	,	14	,	0.58	,	38	,	+4.8	,	42	
Texas Tech,9-3,8.6 (-0.4),	76.3%	,	+8.0	,	29	,	33.5	,	19	,	25.5	,	52	,	-0.81	,	92	,	+3.7	,	50	
Clemson,8-4,7.8 (-0.2),	75.7%	,	+7.8	,	30	,	28.2	,	51	,	20.4	,	26	,	-0.24	,	75	,	+8.1	,	27	
Northwestern,7-5,5.8 (-1.2),	75.5%	,	+7.7	,	31	,	37.4	,	8	,	29.7	,	82	,	1.41	,	9	,	-0.7	,	69	
Purdue,5-6,6.1 (1.1),	75.2%	,	+7.6	,	32	,	34.0	,	18	,	26.3	,	58	,	0.80	,	25	,	+0.5	,	68	
Arkansas,4-7,6.1 (2.1),	74.8%	,	+7.5	,	33	,	28.8	,	44	,	21.3	,	29	,	0.64	,	35	,	+9.6	,	22	
Tulsa,9-4,9.0 (0.0),	74.1%	,	+7.3	,	34	,	30.2	,	33	,	22.9	,	37	,	-0.34	,	81	,	+13.4	,	9	
Arizona State,7-5,6.8 (-0.2),	72.7%	,	+6.8	,	35	,	37.4	,	9	,	30.6	,	88	,	0.27	,	50	,	-4.2	,	86	
Maryland,5-6,6.0 (1.0),	72.4%	,	+6.7	,	36	,	29.1	,	41	,	22.4	,	36	,	0.77	,	27	,	-0.9	,	71	
Wisconsin,10-3,8.2 (-1.8),	71.8%	,	+6.5	,	37	,	31.7	,	27	,	25.2	,	48	,	0.04	,	60	,	+7.0	,	32	
South Carolina,7-5,6.4 (-0.6),	71.7%	,	+6.4	,	38	,	27.9	,	53	,	21.4	,	30	,	0.93	,	19	,	+11.1	,	15	
Nebraska,8-4,7.5 (-0.5),	71.3%	,	+6.3	,	39	,	24.3	,	80	,	18.0	,	19	,	0.20	,	54	,	+0.7	,	65	
Southern Miss,7-5,7.8 (0.8),	69.9%	,	+5.9	,	40	,	29.6	,	38	,	23.7	,	39	,	-0.02	,	63	,	+2.2	,	57	
Michigan State,5-6,5.2 (0.2),	69.7%	,	+5.8	,	41	,	36.7	,	10	,	30.9	,	92	,	0.66	,	34	,	-8.2	,	95	
