Team,Rec.,2ndO Wins(Diff),S&P+(Percentile),S&P+(Margin),Rk,Off. S&P+,Rk,Def. S&P+,Rk,SOS,Rk,Wtd. S&P+,Rk
West Virginia,11-2,11.3 (0.3),	98.5%	,	+24.1	,	1	,	40.9	,	4	,	16.9	,	9	,	0.86	,	24	,	+19.6	,	3	
LSU,12-2,10.8 (-1.2),	97.9%	,	+22.6	,	2	,	37.5	,	13	,	14.8	,	3	,	1.43	,	13	,	+12.0	,	11	
Florida,9-4,10.4 (1.4),	97.5%	,	+21.8	,	3	,	47.0	,	1	,	25.2	,	52	,	1.04	,	17	,	+15.6	,	7	
Ohio State,11-2,11.4 (0.4),	97.3%	,	+21.3	,	4	,	33.5	,	22	,	12.2	,	1	,	0.15	,	54	,	+20.4	,	2	
Oregon,9-4,9.6 (0.6),	96.0%	,	+19.3	,	5	,	39.5	,	8	,	20.2	,	19	,	1.34	,	14	,	+10.5	,	18	
Oklahoma,11-3,10.9 (-0.1),	95.2%	,	+18.5	,	6	,	39.8	,	6	,	21.3	,	28	,	0.56	,	41	,	+10.2	,	21	
South Florida,8-4,8.3 (0.3),	94.7%	,	+17.9	,	7	,	33.8	,	20	,	15.9	,	6	,	1.74	,	3	,	+2.5	,	51	
USC,11-2,11.3 (0.3),	93.5%	,	+16.8	,	8	,	33.1	,	25	,	16.3	,	7	,	-0.13	,	62	,	+18.2	,	5	
Tennessee,10-4,9.9 (-0.1),	93.3%	,	+16.6	,	9	,	38.0	,	10	,	21.4	,	29	,	1.49	,	11	,	+11.4	,	14	
Missouri,12-2,10.9 (-1.1),	92.3%	,	+15.8	,	10	,	40.0	,	5	,	24.2	,	45	,	0.77	,	29	,	+13.2	,	10	
Texas,10-3,10.1 (0.1),	91.4%	,	+15.1	,	11	,	37.9	,	11	,	22.7	,	39	,	0.54	,	43	,	+1.6	,	57	
Penn State,9-4,9.8 (0.8),	90.9%	,	+14.8	,	12	,	31.6	,	34	,	16.8	,	8	,	0.21	,	53	,	+5.1	,	36	
Georgia,11-2,9.7 (-1.3),	90.3%	,	+14.4	,	13	,	34.8	,	16	,	20.5	,	21	,	0.90	,	21	,	+26.2	,	1	
Virginia Tech,11-3,10.1 (-0.9),	90.2%	,	+14.3	,	14	,	28.9	,	59	,	14.5	,	2	,	0.79	,	28	,	+9.7	,	22	
Michigan,9-4,8.4 (-0.6),	88.2%	,	+13.1	,	15	,	31.1	,	38	,	18.0	,	12	,	1.16	,	16	,	+7.9	,	27	
Oklahoma State,7-6,6.4 (-0.6),	87.2%	,	+12.6	,	16	,	41.9	,	2	,	29.4	,	71	,	1.21	,	15	,	+0.3	,	66	
Kansas,12-1,10.9 (-1.1),	84.2%	,	+11.1	,	17	,	33.3	,	23	,	22.2	,	35	,	-1.14	,	102	,	+11.7	,	12	
BYU,11-2,10.1 (-0.9),	83.9%	,	+11.0	,	18	,	31.4	,	36	,	20.4	,	20	,	-0.47	,	75	,	+14.2	,	8	
Illinois,9-4,8.8 (-0.2),	83.8%	,	+10.9	,	19	,	33.5	,	21	,	22.6	,	38	,	0.60	,	37	,	+7.9	,	28	
Rutgers,8-5,8.1 (0.1),	83.5%	,	+10.8	,	20	,	33.0	,	27	,	22.2	,	34	,	0.04	,	58	,	+1.9	,	55	
